raw_substance,confidence,reason
"ml, soluţie perfuzabilă",0.9,"'ml, solutie perfuzabila' is just dosage form language (mL, solution for infusion) in Romanian, not a substance name."
"ml, spädningsvätska för parenteral användning",0.95,"This is just Swedish for 'mL, diluent for parenteral use' - dosage/formulation language, not a substance name."
"ml, suspension buvable",0.9,"This is dosage form language ('ml, oral suspension'), not a substance name."
"ml, süste-",0.95,"'ml, süste-' is dosage/formulation language (Estonian for injection), not a substance name."
"ml, zawiesina do nebulizacji",0.9,"This is dosage form language ('ml, suspension for nebulization' in Polish), not a substance name."
"ml, émulsion injectable en seringue pré-remplie",0.85,"This is dosage/form language ('ml, injectable emulsion in pre-filled syringe') with no substance named."
ml-Inj.-Lsung in Zylinderampullen,0.9,"Describes dosage form (injection solution in cartridge ampoules), not a substance."
ml-Inj.-Lsung in einer Zylinderampulle,0.9,"This is dosage form/packaging language ('ml injection solution in a cylinder ampoule'), not a substance name."
ml. Solution pour la modification de fractions sanguines,0.85,"This describes a solution for blood fraction modification, a dosage/process description not a substance."
ml: powder and solvent for solution intravenous use,0.95,"This is dosage form/volume language only, not a substance name."
modifed pain management,0.9,"'Modified pain management' describes a treatment approach/protocol, not a substance."
no INN,0.9,"'no INN' is a placeholder indicating no substance name available, not an actual substance."
no INN and no proposed INN available,0.9,"This string is a placeholder statement, not a substance name."
no INN assigned,0.9,"'no INN assigned' is a placeholder, not a substance name."
no INN available,0.9,"'no INN available' is a placeholder, not a substance name."
no known INN,0.9,"'no known INN' is a placeholder, not a substance name."
no proposed INN,0.9,"'no proposed INN' is a placeholder, not a substance name."
non ancora assegnata,0.95,"'non ancora assegnata' is Italian for 'not yet assigned', a placeholder, not a substance."
non disponibile,0.95,"'non disponibile' is Italian for 'not available', a placeholder, not a substance name."
not applied for,0.95,"Placeholder text, not a substance name"
not availabel,0.95,"'not availabel' is a placeholder indicating no data, not a substance name."
not defined,0.9,"'not defined' is a placeholder, not a substance name."
not defined yet,0.95,"Placeholder text, not a substance name."
not estbalished,0.95,"'not established' is a placeholder, not a substance name."
not issued,0.9,"'not issued' is a placeholder, not a substance name."
not registered INN,0.85,"'not registered INN' is a placeholder indicating no INN assigned, not an actual substance name."
not relevant,0.95,"'not relevant' is a placeholder, not a substance name."
not yest assigned according to MPCR,0.9,Placeholder text ('not yet assigned') does not name any substance.
not yet availble,0.95,"'not yet availble' is a placeholder, not an actual substance name."
not yet defined,0.95,"'not yet defined' is a placeholder, not a substance name."
not yet given,0.9,"'not yet given' is a placeholder, not a substance."
other anti-neoplastic agent,0.9,"'other anti-neoplastic agent' is a generic category label, not a specific substance."
other nervous system drugs,0.9,"This is a drug class/category label, not a specific substance."
para perfusão,0.95,"'para perfusão' is Portuguese for 'for infusion', a dosage form phrase, not a substance."
pending,0.9,"'pending' is a placeholder, not a substance name."
perfuzabilă,0.9,"'perfuzabilă' is Romanian for 'infusible' (dosage form descriptor, as in 'soluție perfuzabilă' = infusion solution), not a substance name."
phosphate buffered saline.,0.75,"Phosphate buffered saline is a vehicle/diluent, not an active substance."
phosphate-buffered saline for SC administration,0.75,"Phosphate-buffered saline used as vehicle/placebo, not itself a substance in the list; it's a buffer solution, best treated as no substance/vehicle control."
powder and solvent for solution for injection,0.95,"This is a dosage form description, not a substance name."
pulsación Solución para inhalación en envase a presión,0.85,"This is just dosage form language ('pulsation solution for inhalation in pressurized container'), not a substance name."
pulsación solución para inhalación en envase a presión,0.85,"This is dosage form language ('pulsation solution for inhalation in pressurized container'), not a substance name."
pulsación suspensión para inhalación en envase a presión.,0.85,"This string only describes a dosage form (pressurized inhalation suspension), not an actual substance name."
"pulsación, Solución para inhalación en envase a presión.",0.85,"This string is only dosage form language ('pulsación, Solución para inhalación en envase a presión' = inhalation solution in pressurized container), not a substance name."
"pulsación, solución para inhalación en envase a presión",0.85,"This is only dosage form language (pressurized inhalation solution), no substance named."
pulverización Suspensión para pulverización nasal,0.8,"This is only a dosage form description ('spray, suspension for nasal spray'), no substance named."
refer to SPC,0.95,"'refer to SPC' is a placeholder phrase, not a substance name."
"sachet (with the exception of the active substance), is manufactured by the same manufacturer (uni-pharma kleon tsetis pharmaceutical laboratory s.a) and is not sterile.",0.9,"This is a manufacturing/formulation description, not a substance name."
"sachet drug product (hereafter referred as vehicle) is a smooth, creamy white to off-white ointment free from foreign particles, packed intact and
properly sealed containing the same qualitative composition as the active product but without the active substance. The vehicle will be provided in a single-use packets to contain 350 mg of
drug product.",0.95,"This describes a vehicle/placebo control formulation without active substance, not a substance itself."
"sachet ή stick, Κόνις για πόσιμο διάλυμα",0.85,"This is dosage form language ('sachet or stick, powder for oral solution' in Greek), not a substance name."
same as IMP (Tildacerfont) minus active substance,0.75,"This describes a placebo (same as IMP minus active substance), not an actual substance."
same as IMP (Tildacerfont) minus the active substance,0.85,"This describes a placebo formulation lacking the active substance, not a substance itself."
same excipients except no hypromellose,0.85,"This describes excipient formulation differences, explicitly excluding hypromellose, not naming an active substance."
see D.3.9.3,0.9,"'see D.3.9.3' is a reference to another field, not a substance name."
see D.3.9.3 Other descriptive name below,0.9,"Placeholder text referring to another field, not a substance name."
see D.3.9.3.,0.9,"'see D.3.9.3.' is a cross-reference placeholder, not a substance name."
sham group will undergo a procedure that will closely mimic the active injection but with no penetration of the globe.,0.95,"This describes a sham procedure, not a substance."
standard pain management,0.95,"'Standard pain management' is a treatment approach description, not a specific substance name."
standard schema,0.95,"'standard schema' does not name any substance; it appears to be a methodology/reference term, not a drug."
standard supportive care,0.97,"'Standard supportive care' is a study-arm/treatment approach label, not a substance."
suspensiota varten,0.9,"'suspensiota varten' is Finnish for 'for suspension', a dosage form phrase, not a substance name."
tab,0.9,"'tab' is dosage form abbreviation (tablet), not a substance."
"tab (with the exception of the active substance), is manufactured by the same manufacturer (uni-pharma kleon tsetis pharmaceutical laboratory s.a) and is not sterile.",0.85,"This is a descriptive statement about manufacturing/formulation, not a substance name."
"tablet
table coating - OPADRY 20A82938 Yellow - COLORCON",0.85,"OPADRY is a tablet coating excipient blend, not an active substance."
"tablet]: Microcrystalline cellulose 243.9, Sodium bicarbonate 15.9, Hydroxypropyl methylcellulose 47.7, Sodium croscarmellose 4.5, Silicon dioxide 3.2, Magnesium stearate plant 3.2, Eudragit E PO Ready Mix 12.7",0.85,"This lists inactive excipients of a tablet formulation, not an active substance."
there is neither a INN nor a proposed INN,0.9,"This string is a placeholder statement about naming status, not an actual substance name."
to be considered,0.95,"'to be considered' is a placeholder, not a substance name."
to be proposed,0.97,"'to be proposed' is a placeholder, not a substance name."
to be requested,0.95,"'to be requested' is a placeholder, not a substance name."
training kit,0.9,"'training kit' is not a substance, likely a device/training placeholder"
tumor detection,0.85,"'tumor detection' describes a procedure/purpose, not an actual substance."
"type: Bulk unlabelled Amcor sachet to match 5 g
Manufacturing lot",0.85,"This describes packaging/manufacturing logistics, not a substance."
unavailable yet,0.95,"'unavailable yet' is a placeholder, not a substance name."
"unit

Total 600 mg",0.85,"'unit... Total 600 mg' is dosage language, not a substance name."
"unit
Crospovidone(Polyplasdone XL) Disintegrant 24.00 mg",0.6,"Crospovidone is an inactive excipient (disintegrant), not the active pharmaceutical substance, so it doesn't represent a drug substance for this task."
v Solution for Infusion (not authorised),0.7,This is dosage/form language ('Solution for Infusion') without naming a specific substance.
v) sodium chloride with 5 mM phosphate buffered solution,0.85,"This describes a buffer/vehicle solution, not an active substance."
"v, Eye Drops Suspension",0.7,"The string 'v, Eye Drops Suspension' gives no identifiable substance name, only a fragment and dosage form."
"v, eye drops, suspension",0.7,"'v, eye drops, suspension' contains no identifiable active substance name, just dosage form info."
v; Hydrochloric Acid q.s.,0.85,"Hydrochloric acid q.s. is a pH-adjusting excipient, not an active substance."
white 00 hard gelatin capsules for oral administration.,0.85,"This describes a capsule shell/dosage form, not an active substance."
www.coloplast.dk,0.95,"This is a website URL, not a substance name."
